title,address,area,bedrooms,bathrooms,price,floors,street
"Bán nhà đường 19/5, Văn Quán, Hà Đông, ngõ nông,  DT30/36","Quận Hà Đông, Hà Nội",30 m2,4 PN,4 WC,6 tỷ 950 triệu,,Văn Quán
"Bán nhà đường Trần Phú, Mộ Lao, Hà Đông, ô tô đỗ, kinh doanh 28m2","Quận Hà Đông, Hà Nội",28 m2,1 PN,1 WC,12 tỷ,,Trần Phú
"Bán nhà đường Chiến Thắng, Văn Quán, Hà Đông -Ô tô tránh-DT35m2","Quận Hà Đông, Hà Nội",35 m2,4 PN,2 WC,10 tỷ 100 triệu,,Chiến Thắng
"Bán nhà đường Trần Phú,Mộ Lao, Hà Đông, ngõ rộng, 7 tầng, ô tô tránh","Quận Hà Đông, Hà Nội",70 m2,13 PN,7 WC,17 tỷ 500 triệu,7,Trần Phú
"Bán nhà đường Thanh Bình, Mộ Lao, Hà Đông full công năng, DT31m2","Quận Hà Đông, Hà Nội",31 m2,3 PN,4 WC,5 tỷ 900 triệu,,Thanh Bình
"Bán nhà đường Trần Phú, Mộ Lao, Hà Đông, ngõ rộng, ô tô tránh, 7 tầng","Quận Hà Đông, Hà Nội",52 m2,13 PN,7 WC,16 tỷ 500 triệu,7,Trần Phú
"Bán nhà đường Thanh Bình, Mộ Lao, Hà Đông full công năng, DT53m2","Quận Hà Đông, Hà Nội",53 m2,5 PN,3 WC,7 tỷ 600 triệu,,Thanh Bình
"Chính Chủ cần bán  biệt thự Geleximco Lê Trọng Tấn 370m2, 4 tầng.","Quận Hà Đông, Hà Nội",370 m2,8 PN,4 WC,40 tỷ,4,Lê Trọng Tấn
"Bán nhà đường Trần Phú cạnh KĐT Văn Quán, 5 tầng LÔ GÓC, giá 6.8 tỷ","Quận Hà Đông, Hà Nội",33 m2,4 PN,4 WC,6 tỷ 800 triệu,5,Văn Quán
"Nhà đẹp giá rẻ quận Hà Đông, bán 25 căn nhà Yên Nghĩa, 5 tầng, 3.6 tỷ","Quận Hà Đông, Hà Nội",31 m2,3 PN,4 WC,3 tỷ 600 triệu,5,Yên Nghĩa
"Bán nhà Nguyễn Văn Lộc - Mỗ Lao. Dt 88m2, mt 4.5m, kdvp, nhỉnh 20 tỷ","Quận Hà Đông, Hà Nội",88 m2,6 PN,5 WC,21 tỷ,20,Mỗ Lao
"Bán nhà Vạn Phúc quận Hà Đông, 5 tầng ô tô đỗ cửa, nhỉnh 8 tỷ, Galaxy","Quận Hà Đông, Hà Nội",38 m2,3 PN,4 WC,8 tỷ 200 triệu,5,Vạn Phúc
"Bán nhà đường Thanh Bình Mỗ Lao Hà Đông dt 53m2, mt 4.3m, giá 7.5 tỷ","Quận Hà Đông, Hà Nội",53 m2,6 PN,3 WC,7 tỷ 500 triệu,5,Mỗ Lao
"Bán nhà đường Yên Hòa phường Yên Nghĩa, 33m, 5T, ô tô đỗ cửa, chỉ 4 tỷ","Quận Hà Đông, Hà Nội",33 m2,3 PN,4 WC,4 tỷ,5,Yên Nghĩa
"Bán nhà Mỗ Lao quận Hà Đông, ôtô tránh KD, 5 tầng thang máy, 11.8  tỷ","Quận Hà Đông, Hà Nội",42 m2,4 PN,4 WC,11 tỷ 800 triệu,5,Mỗ Lao
"Bán nhà đẹp Yên Nghĩa quận Hà Đông, dt 38m2, 4 tầng mới, giá 3.4 tỷ","Quận Hà Đông, Hà Nội",38 m2,3 PN,3 WC,3 tỷ 400 triệu,4,Yên Nghĩa
"bán nhà Hòa Bình Yên Nghĩa Hà Đông, 4 tầng, ô tô cạnh nhà, giá 3.6 tỷ","Quận Hà Đông, Hà Nội",35 m2,3 PN,3 WC,3 tỷ 600 triệu,4,Yên Nghĩa
"Bán nhà Yên Hòa – Yên Nghĩa. dt 55m2, mt 5m, ô tô đỗ cửa giá 4.3 tỷ","Quận Hà Đông, Hà Nội",55 m2,3 PN,3 WC,4 tỷ 300 triệu,3,Yên Nghĩa
Siêu Phẩm Nhà Liền Kề KĐT Văn Khê - Hà Đông - Dt 85m2 x 6 Tâng.,"Quận Hà Đông, Hà Nội",85 m2,5 PN,6 WC,20 tỷ,6,Văn Khê
Bán mặt phố Nguyễn Văn lộc - lô góc- vỉa hè - kinh doanh - 105m- 45 tỷ,"Quận Hà Đông, Hà Nội",105 m2,6 PN,7 WC,45 tỷ,45,Nguyễn Văn Lộc
Bán mặt phố Trần Phú - Lô góc - Kinh doanh - DT 100M - MT 6m - 26.5 Tỷ,"Quận Hà Đông, Hà Nội",100 m2,4 PN,4 WC,26 tỷ 500 triệu,5,Trần Phú
Bán nhà phố Nguyễn Văn Lộc - Ô tô tránh- Kinh doanh- 105m- MT 6m- 21Tỷ,"Quận Hà Đông, Hà Nội",105 m2,9 PN,9 WC,21 tỷ,21,Nguyễn Văn Lộc
Mặt phố Trần Phú- Hà Đông- Vỉa hè - Kinh doanh- Dòng tiền 1.4 Tỷ/Năm,"Quận Hà Đông, Hà Nội",95 m2,6 PN,7 WC,32 tỷ,4,Trần Phú
"💥💥💥 LÔ GÓC – Diện tích rộng - Phan Đình GIót, Hà Đông 💥💥💥","Quận Hà Đông, Hà Nội",56 m2,4 PN,2 WC,5 tỷ 800 triệu,,Phan Đình Giót
CC bán nhà MP Phùng Hưng 125m2 6 tầng mt 4m nhỉnh 16 tỷ CT 50tr,"Quận Hà Đông, Hà Nội",125 m2,6 PN,6 WC,19 tỷ 800 triệu,6,Phùng Hưng
"Bán nhà phố Vạn Phúc, lô góc 3 thoáng, ô tô sát cửa, 59m2, 12.5 tỷ","Quận Hà Đông, Hà Nội",59 m2,4 PN,2 WC,12 tỷ 500 triệu,3,Vạn Phúc
"Bán Nhà Phố Trần Phú, hũ vàng từ cho thuê, 60m2, 16 Tỷ","Quận Hà Đông, Hà Nội",60 m2,10 PN,8 WC,16 tỷ,16,Trần Phú
"Bán nhà phố Ngô Quyền, ô tô đỗ cửa, cơ hội lãi gấp 4, 130m2, 7 tỷ","Quận Hà Đông, Hà Nội",130 m2,1 PN,1 WC,7 tỷ,7,Ngô Quyền
"Bán nhà đường Trần Phú, Mộ Lao, Hà Đông, ô tô đỗ, View hồ 38m2","Quận Hà Đông, Hà Nội",38 m2,4 PN,4 WC,14 tỷ,,Trần Phú
Căn góc 50m2*6T-13.5 tỷ Kinh Doanh thang máy- Gara-phố Phan Đình Giót,"Quận Hà Đông, Hà Nội",47 m2,5 PN,4 WC,13 tỷ 500 triệu,6,Phan Đình Giót
Nhà mới thang máy kinh doanh-gara 7 chỗ-52m2*5T*13 tỷ ngay Làng Lụa,"Quận Hà Đông, Hà Nội",52 m2,7 PN,5 WC,13 tỷ,5,Lụa
Toà ccmn lô góc 110m2 7 tầng(30pkk) 25 tỷ mặt Đường Phan Chu Trinh,"Quận Hà Đông, Hà Nội",95 m2,30 PN,31 WC,25 tỷ,7,Phan Chu Trinh
Nhà DV Cây Quýt-P.La Khê - 52m²*7 tầng thang máy- thông sàn kinh doanh,"Quận Hà Đông, Hà Nội",52 m2,5 PN,6 WC,15 tỷ 800 triệu,7,
"Bán Nhà Mỗ Lao - Thanh Bình Hà Đông. Ô Tô Tránh. DT 33M2. 9,9 Tỷ","Quận Hà Đông, Hà Nội",33 m2,4 PN,4 WC,9 tỷ 900 triệu,9,Mỗ Lao
Bán Nhà Phân Lô Liền Kề KĐT Văn Phú - Hà Đông. DT 165m2. MT 8M,"Quận Hà Đông, Hà Nội",165 m2,8 PN,6 WC,36 tỷ 500 triệu,,Văn Phú
Bán Nhà Liền Kề KĐT Văn Quán Hà Đông. Lô Góc 2 Mặt Tiền. DT 76m2,"Quận Hà Đông, Hà Nội",76 m2,6 PN,5 WC,23 tỷ,,Văn Quán
Bán Nhà Liền Kề KĐT Mỗ Lao Hà Đông - Nhà Mới Thang Máy. DT 75m2. MT 5m,"Quận Hà Đông, Hà Nội",75 m2,8 PN,5 WC,24 tỷ,,Mỗ Lao
Bán Nhà Phân Lô Liền Kề KĐT Văn Quán Hà Đông. DT 88m2,"Quận Hà Đông, Hà Nội",88 m2,6 PN,4 WC,20 tỷ 400 triệu,,Văn Quán
Bán Tòa Nhà Chung Cư MINI - KĐT Văn Quán - Hà Đông. DT 60m2. 7 Tầng,"Quận Hà Đông, Hà Nội",60 m2,12 PN,12 WC,17 tỷ 800 triệu,7,Văn Quán
Bán Tòa Nhà Chung Cư MINI - KĐT Mỗ Lao Hà Đông. DT 71m2. 7 Tầng,"Quận Hà Đông, Hà Nội",71 m2,18 PN,18 WC,16 tỷ 800 triệu,7,Mỗ Lao
Bán Nhà Phân Lô - Liền Kề KĐT Văn Quán Hà Đông. DT 80m2. 5 Tầng,"Quận Hà Đông, Hà Nội",80 m2,6 PN,5 WC,20 tỷ,5,Văn Quán
Bán Nhà Mặt Phố Chính Trần Phú - Hà Đông. 40m2. Giá 16 Tỷ,"Quận Hà Đông, Hà Nội",40 m2,4 PN,3 WC,16 tỷ,16,Trần Phú
"Bán Nhà Liền Kề KĐT Văn Phú Hà Đông. DT 65M2. 5 Tầng.MT 7,2m - 13,8 Tỷ","Quận Hà Đông, Hà Nội",65 m2,6 PN,5 WC,13 tỷ 800 triệu,5,Văn Phú
Bán Nhà Liền Kề KĐT Văn Quán Hà Đông. 106m2. Vỉa Hè Rông. Ô Tô Tránh,"Quận Hà Đông, Hà Nội",106 m2,6 PN,4 WC,25 tỷ,,Văn Quán
Bán Biệt Thự ViLa Tô Hiệu Hà Đông. DT 171M2. 3 Tầng. Mặt Tiền 10M,"Quận Hà Đông, Hà Nội",171 m2,6 PN,4 WC,31 tỷ 500 triệu,3,Tô Hiệu
Bán Nhà Liền Kề KĐT Văn Khê Hà Đông. DT 83m2. Nhà Mới. Đường ÔTô Tránh,"Quận Hà Đông, Hà Nội",83 m2,6 PN,4 WC,21 tỷ 700 triệu,,Văn Khê
"Bán Nhà Phố Văn Phú - Hà Đông. Nhà Mới. DT 42m2. 5 Tầng. Giá 6,8 Tỷ","Quận Hà Đông, Hà Nội",42 m2,8 PN,5 WC,6 tỷ 800 triệu,5,Văn Phú
"Bán Nhà Ngô Quyền Hà Đông. Ngỗ Thông Ô Tô Qua. DT 32M2. Giá 6,5 Tỷ","Quận Hà Đông, Hà Nội",32 m2,3 PN,4 WC,6 tỷ 500 triệu,5,Ngô Quyền
Bán Nhà Trần Phú Hà Đông. Thông Sàn KD Văn Phòng. 52m2. 7 Tầng. MT 62m,"Quận Hà Đông, Hà Nội",52 m2,8 PN,7 WC,16 tỷ 500 triệu,7,Trần Phú
Bán Nhà Phân Lô - Liền Kề KĐT Mỗ Lao - Hà Đông. DT 60M2. MT 5M. 19 Tỷ,"Quận Hà Đông, Hà Nội",60 m2,6 PN,4 WC,19 tỷ,19,Mỗ Lao
Bán Nhà Trần Phú - Hà Đông. View Hồ. Vỉa Hè - Ô Tô Tránh KD. Giá 13 tỷ,"Quận Hà Đông, Hà Nội",38 m2,4 PN,3 WC,13 tỷ,13,Trần Phú
Bán Nhà Mặt Phố Nguyễn Văn Trỗi. KĐT Mỗ Lao Hà Đông. DT 68M2.Giá 15 Tỷ,"Quận Hà Đông, Hà Nội",68 m2,6 PN,5 WC,15 tỷ,15,Mỗ Lao
"Bán Nhà Phân Lô - Liền Kề KĐT Văn Phú Hà Đông. DT 90M2. Giá 18,9 Tỷ","Quận Hà Đông, Hà Nội",90 m2,6 PN,4 WC,18 tỷ 900 triệu,9,Văn Phú
Bán Nhà Liền Kề KĐT Văn Phú Hà Đông. Vỉa Hè. DT 70M2. 5 Tầng. MT 5M,"Quận Hà Đông, Hà Nội",70 m2,6 PN,4 WC,22 tỷ,5,Văn Phú
Bán Nhà Liền Kề Lô Góc KĐT Văn Phú - Hà Đông. DT 90M2. 5 Tầng,"Quận Hà Đông, Hà Nội",90 m2,6 PN,4 WC,21 tỷ 500 triệu,5,Văn Phú
Bán Nhà Phân Lô - Liền Kề KĐT Văn Phú Hà Đông. DT 100M2. MT 5M,"Quận Hà Đông, Hà Nội",100 m2,5 PN,4 WC,26 tỷ,,Văn Phú
Bán Nhà Liền Kề KĐT Văn Phú Hà Đông. DT 81M2. 5 Tầng. Vỉa Hè Rộng 10m,"Quận Hà Đông, Hà Nội",81 m2,6 PN,4 WC,25 tỷ,5,Văn Phú
Bán Nhà Liền Kề KĐT Mỗ Lao Hà Đông. DT 79M2. Xây 4 Tầng,"Quận Hà Đông, Hà Nội",79 m2,5 PN,4 WC,22 tỷ 500 triệu,4,Mỗ Lao
Bán Nhà Liền Kề KĐT Văn Phú Hà Đông. DT 102M2. 5 Tầng. MT 10m,"Quận Hà Đông, Hà Nội",102 m2,8 PN,5 WC,26 tỷ,5,Văn Phú
Bán Nhà Liền Kề KĐT Văn Phú. DT 70M2. Đường Rộng. Vỉa Hè Kinh Doanh,"Quận Hà Đông, Hà Nội",70 m2,6 PN,4 WC,18 tỷ 900 triệu,,Văn Phú
Bán Biệt Thự Lô Góc KĐT Văn Khê Hà Đông. Vị Trí Víp. DT 182M2,"Quận Hà Đông, Hà Nội",182 m2,6 PN,5 WC,34 tỷ 600 triệu,,Văn Khê
CHỦ Cần Bán Gấp Biệt Thự KĐT Văn Phú Hà Đông.Lô Góc Siêu Đẹp. DT 176m2,"Quận Hà Đông, Hà Nội",176 m2,6 PN,5 WC,41 tỷ,,Văn Phú
"Bán Tòa Nhà Chung Cư MINI Văn Quán Hà Đông. DT 88m2. 7 Tầng. MT 6,1m","Quận Hà Đông, Hà Nội",88 m2,26 PN,26 WC,15 tỷ 500 triệu,7,Văn Quán
"Bán Nhà Nguyễn Trãi - KĐT Mõ Lao Hà Đông. DT 52m2. mt 4,1m. Giá 7,9 Tỷ","Quận Hà Đông, Hà Nội",52 m2,4 PN,4 WC,7 tỷ 900 triệu,9,Nguyễn Trãi
"Bán Nhà Phường Biên Giang - Hà Đông. DT 30M. 5 Tầng Mới. Giá 2,9 Tỷ","Quận Hà Đông, Hà Nội",30 m2,3 PN,3 WC,2 tỷ 900 triệu,5,Biên Giang
Bán Nhà Mặt Phố Trần Đăng Ninh - Hà Đông - Vỉa Hè Rộng -Ô Tô Trong Nhà,"Quận Hà Đông, Hà Nội",40 m2,6 PN,4 WC,13 tỷ 500 triệu,,Trần Đăng Ninh
Bán Nhà Liền Kề Mỗ Lao Hà Đông. 75m2. Vỉa Hè. Đường 3 Ô Tô Tránh Nhau,"Quận Hà Đông, Hà Nội",75 m2,6 PN,5 WC,24 tỷ,,Mỗ Lao
Bán Nhà Liền Kề Mặt Phố Văn Phú DT 90m2. Vị Trí Đẹp. Vỉa Hè Kinh Doanh,"Quận Hà Đông, Hà Nội",90 m2,6 PN,4 WC,23 tỷ 900 triệu,,Văn Phú
Bán Nhà Liền Kề KĐT Văn Quán Hà Đông. 106m2. Vỉa Hè Rộng. Ô TÔ Tránh,"Quận Hà Đông, Hà Nội",106 m2,6 PN,4 WC,25 tỷ,,Văn Quán
Bán Nhà Liền Kề KĐT Văn Phú Hà Đông. DT 50M2. Vỉa Hè. Đường Ô Tô Tránh,"Quận Hà Đông, Hà Nội",50 m2,6 PN,5 WC,17 tỷ 600 triệu,,Văn Phú
Bán Nhà Liền Kề KĐT Văn Khê Hà Đông. DT 83m2. Vỉa Hè Rộng Kinh Doanh,"Quận Hà Đông, Hà Nội",83 m2,5 PN,4 WC,22 tỷ 500 triệu,,Văn Khê
Bán Nhà Liền Kề Ngô Thì Nhậm - Hà Đông. Lô Góc. KD Sầm Uất. DT 51M2,"Quận Hà Đông, Hà Nội",51 m2,5 PN,4 WC,22 tỷ 400 triệu,,Ngô Thì Nhậm
Bán Nhà Liền Kề KĐT Mỗ Lao Hà Đông. DT 78M2. Vỉa Hè Ô Tô Tránh,"Quận Hà Đông, Hà Nội",78 m2,5 PN,4 WC,22 tỷ 500 triệu,,Mỗ Lao
"Bán Nhà Liền Kề KĐT La Khê Hà Đông. Vỉa Hè ÔTô Tránh. DT 54m2. 13,6 Tỷ","Quận Hà Đông, Hà Nội",54 m2,6 PN,4 WC,13 tỷ 600 triệu,6,
"Bán Nhà Phân Lô Liền Kề KĐT La Khê - Hà Đông. DT 50m2. Giá 13,5 Tỷ","Quận Hà Đông, Hà Nội",50 m2,4 PN,4 WC,13 tỷ 500 triệu,5,
Bán Nhà Chiến Thắng Văn Quán Hà Đông. Phân Lô. Vỉa Hè. Gara. Giá 13 Tỷ,"Quận Hà Đông, Hà Nội",35 m2,4 PN,3 WC,13 tỷ,13,Chiến Thắng
"Cần tiền chủ tha thiết bán nhà tự xây ngay  Văn Quán 34m, mt","Quận Hà Đông, Hà Nội",34 m2,4 PN,3 WC,6 tỷ 600 triệu,,Văn Quán
"Bán nhà xây mới Phan Đình Giót, 47m2, 5 tầng, thang máy, ô tô vào, lô","Quận Hà Đông, Hà Nội",47 m2,6 PN,4 WC,13 tỷ 700 triệu,5,Phan Đình Giót
"Mới koong 5 tầng Vạn Phúc, ở ngay, 3 thoáng, lô góc","Quận Hà Đông, Hà Nội",30 m2,3 PN,4 WC,6 tỷ 650 triệu,5,Vạn Phúc
"Bán nhà mặt phố Trần Đăng Ninh, Hà Đông, phân lô, ô tô tránh KD 40m2","Quận Hà Đông, Hà Nội",40 m2,4 PN,3 WC,7 tỷ 250 triệu,,Trần Đăng Ninh
Cho thuê kiot kinh doanh – Mở quán cơm văn phòng tại THE PRIDE,"Quận Hà Đông, Hà Nội",10 m2,1 PN,1 WC,3 triệu,,
"Bán nhà Trần Phú, Dân trí tuyệt vời, 42m2, 10.65tỷ","Quận Hà Đông, Hà Nội",42 m2,4 PN,3 WC,10 tỷ 650 triệu,65,Trần Phú
"Bán nhà HÀNG XÓM VĂN QUÁN - 78 m2 - mặt tiền 7m giá 8,9 tỷ. Liên hệ: E","Quận Hà Đông, Hà Nội",78 m2,3 PN,3 WC,8 tỷ 900 triệu,9,Văn Quán
"Bán nhà riêng 32m2, 5 tầng,  nội thất đẹp , trung tâm quận","Quận Hà Đông, Hà Nội",30 m2,4 PN,3 WC,6 tỷ 300 triệu,5,
"Nhà đẹp Quang Trung , Hà Đông - 6 tầng , full NT - gần ô tô,chỉ 4.7 tỷ","Quận Hà Đông, Hà Nội",33 m2,4 PN,3 WC,4 tỷ 700 triệu,6,Quang Trung
Nhà La Khê - Hà Đông -2 thoáng- Gần Phố - Ô tô - Ở ngay - 35m². 4 tầng,"Quận Hà Đông, Hà Nội",35 m2,3 PN,3 WC,5 tỷ 750 triệu,2,
"Nhà đẹp , Thanh Bình , Mộ Lao, 33m² - ở ngay - 10m ô tô - Nhỉnh 7,x tỷ","Quận Hà Đông, Hà Nội",33 m2,3 PN,3 WC,7 tỷ 250 triệu,,Thanh Bình
"Bán nhà đẹp 3 ngủ, phân ô bàn cờ dt48m2 tại Yết Kiêu, Hà Đông","Quận Hà Đông, Hà Nội",48 m2,3 PN,3 WC,8 tỷ 600 triệu,2,Yết Kiêu
"Bán nhà mới 5 tầng - 2 thoáng - gần ô tô tại văn phú, hà đông dt 46m2","Quận Hà Đông, Hà Nội",46 m2,4 PN,4 WC,7 tỷ 300 triệu,5,Văn Phú
"Chủ cần bay nhanh trong tháng 11 căn 5 tầng 42m2, ô tô đỗ tại Hà Đông","Quận Hà Đông, Hà Nội",42 m2,4 PN,3 WC,8 tỷ,5,
"""# Lê Quý Đôn - Hà Đông  Ô tô tránh nhau - Vào nhà - Kinh doanh","Quận Hà Đông, Hà Nội",40 m2,3 PN,3 WC,8 tỷ 550 triệu,,Lê Quý Đôn
Bán nhà chiến thắng la khê diện tích 40m .mặt tiền 4.3 giá chỉ 7.8 tỷ,"Quận Hà Đông, Hà Nội",40 m2,4 PN,3 WC,7 tỷ 800 triệu,8,Chiến Thắng
Cần bán nhà Hiếm Ngõ Tô Hiệu DT 40m2x 4 tầng giá 6.9 tỷ,"Quận Hà Đông, Hà Nội",40 m2,4 PN,4 WC,6 tỷ 900 triệu,4,Tô Hiệu
"Bán nhà ngõ Quang Trung, Phường Quang Trung, Quận Hà Đông, nhà mới đẹp","Quận Hà Đông, Hà Nội",35 m2,0 PN,0 WC,4 tỷ,,Quang Trung
"Bán căn hộ rộng ,đẹp văn khê  - la khê giá 4.75","Quận Hà Đông, Hà Nội",119 m2,3 PN,2 WC,4 tỷ 750 triệu,,Văn Khê
"Bán nhà cực đẹp, DT 46m2, vài bước chân ra phố Tô Hiệu","Quận Hà Đông, Hà Nội",46 m2,4 PN,5 WC,9 tỷ,,Tô Hiệu
"Bán nhà Quang trung hà đông 35m2-4,5 tầng- 5.x tỷ","Quận Hà Đông, Hà Nội",35 m2,4 PN,3 WC,5 tỷ 900 triệu,5,Quang Trung
Bán 50m2 phân lô vỉa hè chân victoria văn phú 5m mặt tiền 14 tỷ có TL,"Quận Hà Đông, Hà Nội",50 m2,1 PN,1 WC,14 tỷ,14,Văn Phú
"Bán ngô quyền hà đông 32m2, ô tô đỗ, 5 tầng nhỉnh 6 tỷ","Quận Hà Đông, Hà Nội",32 m2,3 PN,3 WC,6 tỷ,5,Ngô Quyền
Trung Tâm-Oto đỗ cửa-Gần Phố-An Sinh-Tiện Ích-An Ninh Tốt-Dân Trí Cao-,"Quận Hà Đông, Hà Nội",45 m2,3 PN,2 WC,7 tỷ 300 triệu,,
"Nhà Mới ,KD Bất Chấp,Thiết kế HIỆN ĐẠI,OTO Tránh,vào nhà,MT khủng","Quận Hà Đông, Hà Nội",35 m2,4 PN,3 WC,7 tỷ 300 triệu,,
"Lô góc, gara, mới tinh, thang máy, ôtô tránh, kd, 4 ngủ, mậu lương:","Quận Hà Đông, Hà Nội",58 m2,6 PN,5 WC,11 tỷ 500 triệu,,Mậu Lương
"CC, gần Yên Nghĩa, xe tải tránh, 4 tầng, 320m2 , kinh doanh, lô góc","Quận Hà Đông, Hà Nội",52 m2,5 PN,3 WC,4 tỷ 250 triệu,4,Yên Nghĩa
"Bán  32m2, 3 tầng 2.5 tỷ. Hà Đông","Quận Hà Đông, Hà Nội",30 m2,3 PN,3 WC,2 tỷ 500 triệu,3,
"Bán nhà Chợ Chim Yên Phúc Văn Quán Hà Đông 35m2,4T,ở ngay,ngõ nông.","Quận Hà Đông, Hà Nội",35 m2,4 PN,3 WC,5 tỷ 950 triệu,4,Chợ
"Bán chung cư Bình Vương, Quang Trung, Hà Đông, View Đẹp, 91m, giá 4 ty","Quận Hà Đông, Hà Nội",92 m2,2 PN,2 WC,405.000 đ,4,Quang Trung
"Bán nhà lô góc trục chính kinh doanh trung tâm phường Phú Lương,Hà Đôn","Quận Hà Đông, Hà Nội",53 m2,3 PN,2 WC,5 tỷ 500 triệu,,Phú Lương
"Bán Nhà,Phố Nguyễn Thái Học,Quang Trung,Hà Đông 21m2*4 tầng*giá 4.9 tỷ","Quận Hà Đông, Hà Nội",21 m2,2 PN,2 WC,4 tỷ 890 triệu,4,Nguyễn Thái Học
"Bán Nhà, Phố Phan Đình Giót, Quang Trung, Hà Đông 34m2*5 tầng","Quận Hà Đông, Hà Nội",34 m2,3 PN,3 WC,6 tỷ 800 triệu,5,Phan Đình Giót
"Bán nhà nguyên căn tại đa sỹ, hà đông, giá 5,85 tỷ , 4 tầng diện tích","Quận Hà Đông, Hà Nội",136 m2,4 PN,3 WC,5 tỷ 850 triệu,85,Đa Sỹ
Cần bán nhà Phố Yên Phúc - Hà Đông,"Quận Hà Đông, Hà Nội",82 m2,5 PN,3 WC,12 tỷ,,Yên Phúc
"Nhà Cầu Đơ 3 - Hà Đông 47m*5t cách đường Quang Trung 50m,LG CHỈ 10 tỷ","Quận Hà Đông, Hà Nội",47 m2,7 PN,6 WC,10 tỷ,5,Quang Trung
Bán căn biệt thự khu đô thị làng Việt Kiều Châu Âu,"Quận Hà Đông, Hà Nội",152 m2,4 PN,4 WC,25 tỷ,,Làng Việt Kiều Châu Âu
Tòa CCMN ga Văn Quán lô góc 95m2 7T 20PKK cực đẹp giá 15 tỷ,"Quận Hà Đông, Hà Nội",95 m2,20 PN,20 WC,15 tỷ,7,Văn Quán
CCMN Ô TÔ TRÁNH VỈA HÈ 120M2 9T 45PKK doanh thu 2 TỶ/NĂM giá chỉ 30 tỷ,"Quận Hà Đông, Hà Nội",120 m2,45 PN,45 WC,30 tỷ,9,
"Bán tòa CCMN Văn Quán 7T 90M2 22PKK NGÕ NÔNG RỘNG, giá chỉ 11.5 TỶ","Quận Hà Đông, Hà Nội",90 m2,22 PN,22 WC,11 tỷ 500 triệu,7,Văn Quán
CC bán tòa CHDV Chiến Thắng Ô TÔ ĐỔ CỬA 75M2 8T 20PKK giá chỉ 11.5 tỷ,"Quận Hà Đông, Hà Nội",75 m2,20 PN,20 WC,11 tỷ 500 triệu,8,Chiến Thắng
"Bán gấp nhà MỖ LAO 40M2 6 tầng 7PN Ô TÔ GẦN HỒ, CÔNG VIÊN giá chỉ 7 tỷ","Quận Hà Đông, Hà Nội",40 m2,7 PN,5 WC,7 tỷ,6,Mỗ Lao
Hơn 6 tỷ có CCMN cạnh ga Văn Quán 45m2 6T 10PKK doanh thu 500tr/năm,"Quận Hà Đông, Hà Nội",45 m2,10 PN,9 WC,6 tỷ,6,Văn Quán
